id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata|data_date
claveinegi|Clave de la entidad|IMCO||Capacidades|Gobernabilidad|2011-2016|2018-09-05 23:51:51.789797||na-fixed
entidad|Entidad federativa|IMCO||Capacidades|Gobernabilidad|2011-2016|2018-09-05 23:51:51.789797||na-fixed
anodelprocesoelectoral|Año del proceso electoral|IMCO||Capacidades|Gobernabilidad|2011-2016|2018-09-05 23:51:51.789797||na-fixed
url|URL|IMCO||Capacidades|Gobernabilidad|2011-2016|2018-09-05 23:51:51.789797||na-fixed
actualizacion_sedesol|||||||2018-09-05 23:51:51.789797||na-fixed
data_date|||||||2018-09-05 23:51:51.789797||na-fixed
