"CVE_MUN","coords.x1","coords.x2"
"08050",1949194.75672111,2062298.05208204
"08015",2189677.27205399,1968616.63794749
"08048",2000821.11510978,1922963.48363973
"08062",2171960.94484,1774602.21869321
"08052",2254962.45119755,1923700.63729154
"08065",1910161.8112929,1697444.09163296
"08003",2173368.23179549,1674411.95674667
"08056",2074255.9903501,1696280.61749568
"08035",1881493.25772451,2100370.132595
"08036",2263722.24028166,1671204.50750416
"08046",1931778.66964418,1624240.63280013
"08032",2134789.8096141,1679134.5083615
"08010",2005752.5311694,2007371.30175967
"08030",1881602.88971245,1716866.85677077
"08047",1839948.58666014,1803055.90081183
"08041",1913292.53696076,1764773.96766669
"08019",2088061.41177665,1887324.08527178
"08049",2038365.61174166,1714604.6869438
"08029",1999101.79720045,1577151.64382672
"08016",2201005.78535219,1762518.31733123
"08067",2124851.2679942,1718956.63733259
"08014",2195556.06739938,1623039.87266108
"08028",2150873.14770382,2088457.36327825
"08013",1902086.793966,2026583.61828534
"08007",2049956.5853266,1640029.43338179
"08001",2078552.99504293,2048427.96494616
"08034",1946150.99818306,1972364.93838652
"08066",1861082.5314539,1769872.80197925
"08058",2169033.09801278,1728347.83856163
"08064",2075227.83396477,1671524.71171925
"08011",2262171.17173838,1776361.60073602
"08054",2049932.7806179,1867069.65969144
"08038",2201573.97212776,1833674.20534798
"08055",2132864.99165517,1798113.08793179
"08012",2002550.49117566,1758441.41130387
"08021",2157715.25451026,1788033.01861795
"08043",1942450.38203249,1872940.78848719
"08004",2126581.25398703,1840028.31089162
"08027",1981781.39402322,1686239.83018363
"08022",2062326.61183851,1777453.64307843
"08008",1936860.74826812,1665335.06103281
"08009",1951771.13687957,1760080.38658974
"08063",1906410.48343893,1862302.1368539
"08031",1956403.7060521,1823772.97821502
"08017",2017289.25869156,1858987.97452924
"08051",1892093.53697717,1800797.35824776
"08020",1858073.4847812,1725094.85771804
"08033",2097974.33608445,1673533.12237946
"08053",2124655.60503173,2134861.26217386
"08060",2125361.84059176,1643478.0968256
"08057",2035060.88481326,1766445.04573228
"08045",2157405.84214386,1813609.74585022
"08023",1955681.74709283,2020692.99807658
"08025",1943100.90736187,1929718.21487232
"08042",2322280.86313415,1874551.27477302
"08005",1972718.1771605,2150325.08182167
"08059",2109438.33709547,1652889.40566695
"08037",2064399.87313974,2160195.26421818
"08040",1885613.87755189,1931029.15851992
"08026",2052760.04054677,1810818.49010365
"08039",2202097.77991281,1655160.0630441
"08024",2074349.83210254,1812627.00367564
"08006",1984383.91829529,1875083.24980453
"08018",2020388.47171917,1802250.88735297
"09010",2788470.91682912,818182.209573656
"09012",2793021.836852,803049.309724987
"09015",2798505.97540486,828888.844747402
"09017",2804365.40731434,828909.784560149
"09011",2814171.81020956,812163.770375551
"09002",2794929.06947996,834774.55794563
"09003",2798597.46340889,817331.059831611
"09013",2805067.29815994,808459.339422349
"09004",2781799.86142239,816780.956389168
"09016",2792701.36111765,828408.981860477
"09005",2801820.55981127,836978.88204261
"09008",2786350.85840022,810722.162451094
"09007",2808350.7497451,820012.156517301
"09006",2804312.23376021,825201.214290734
"09009",2809423.24109195,796876.927015018
"09014",2797352.33422625,823265.471658704
"10018",2178450.95325166,1503702.04870977
"10023",2163169.91848622,1268456.90279526
"10037",2040027.18733731,1475268.60839689
"10009",2094713.30398384,1555174.52233536
"10014",2239911.13543408,1221742.08506734
"10005",2212155.8873677,1329020.36425734
"10034",2026777.04899077,1441422.69560151
"10036",2338459.6919769,1588784.72806157
"10017",2135022.81663556,1607696.42914113
"10032",2129329.5594817,1442654.12691549
"10038",2302154.12386463,1301391.67000499
"10025",2134565.36158678,1574816.43084818
"10010",2219470.50634194,1562536.56482368
"10019",2103798.82219662,1412139.72670138
"10006",2378081.64352378,1413811.0239881
"10026",2121966.82329137,1359490.59025226
"10033",2281516.02752111,1269017.52877082
"10035",2093561.59659922,1494989.71163481
"10016",2275931.82245567,1310639.79777037
"10020",2262676.20133919,1385880.69815163
"10011",2200890.83905593,1522758.24367023
"10024",2243132.21421114,1463414.40291439
"10008",2290855.95663213,1376382.86952742
"10013",2287862.75026303,1567474.81881451
"10012",2331322.64417579,1493227.44620312
"10031",2357462.34298255,1384955.00980133
"10029",2269030.73250504,1482911.68340765
"10004",2328824.64854729,1406915.63295927
"10021",2290541.10222269,1417531.21994522
"10028",2251532.96230639,1420504.39362229
"10030",2260293.7557543,1510149.85338734
"10015",2291725.0693261,1468332.23386958
"10002",2053284.99888056,1454552.46355287
"10007",2351127.7141813,1520616.80008592
"10027",2427690.80648665,1400928.83880187
"10022",2295394.00321985,1331252.10714341
"10039",2194542.64961499,1425934.14902431
"10001",2204054.94472902,1388768.07166122
"10003",2220524.87295042,1446051.78411819
"11027",2586655.10625036,957844.812926844
"11031",2521902.95531649,990026.30687803
"11040",2690811.96966042,1003711.77275199
"11014",2610128.18663437,1015534.94973938
"11011",2610349.50680056,936398.401965581
"11024",2566333.17501856,949459.649423319
"11028",2612947.66569858,911979.67522633
"11037",2558209.15367901,994971.455638981
"11016",2552098.78695049,929272.901650582
"11023",2519146.87979423,932966.408503422
"11002",2630081.41076955,895017.589435851
"11035",2604370.77374254,963366.477022845
"11034",2699339.1668478,1016873.08241097
"11039",2630939.00793711,921964.83834329
"11026",2541958.81138059,979782.35551805
"11041",2588281.69337448,902127.227110675
"11019",2655364.01032292,911206.574620277
"11045",2708669.47918806,1039712.64419737
"11005",2643102.60358937,952819.235265919
"11025",2507390.50695768,990934.354363261
"11006",2726793.5508744,1029889.86858073
"11018",2598580.55690177,928561.351658809
"11009",2625364.31199776,970938.047962348
"11038",2653388.95406616,889944.906643959
"11036",2605154.40816277,906487.941765392
"11017",2565522.14182256,965977.209161817
"11020",2539044.48678308,1012722.95832444
"11004",2648279.21962441,935924.863089651
"11030",2579003.10142766,1054575.75214251
"11007",2625890.71950143,948475.008383013
"11032",2666783.21247056,1000119.2658361
"11012",2534461.69067535,956550.358936577
"11046",2580644.34391095,909085.504551933
"11022",2554314.59374342,1062888.57402192
"11042",2575848.25315624,930582.321623501
"11021",2578709.65354184,898171.740879964
"11008",2512470.2248498,967288.149813164
"11013",2669604.28466369,1015504.79570053
"11010",2668274.38823988,913546.398970847
"11033",2657230.16917873,1043760.19987286
"11029",2619009.74040113,1048133.98948081
"11044",2604633.68737509,948801.844209235
"11003",2630717.70354218,991263.804457497
"11043",2684284.01026492,1040392.78091393
"11001",2548194.4595287,947537.276386122
"11015",2578930.99544386,1001163.70680174
"12021",2706667.27589057,574292.122463433
"12058",2720138.57368284,708996.538224338
"12030",2806110.44390787,526147.928492261
"12035",2755401.42980953,695010.179061379
"12015",2771989.98388759,721262.204735045
"12003",2647391.00063885,659521.792446384
"12072",2837098.78074756,596775.40281622
"12059",2767559.56765079,681313.192038221
"12022",2613144.21883529,677234.622178141
"12074",2798376.99104357,643021.060885572
"12073",2582516.08729168,706147.962087642
"12040",2733851.27870753,628872.853860782
"12076",2821877.02106492,579867.389287389
"12066",2859235.26759644,623594.313501953
"12047",2724561.19270654,729666.753500157
"12052",2846568.83498025,547338.845979146
"12017",2741678.42989693,684336.955740394
"12007",2690237.83284065,696911.798432673
"12069",2867442.78145581,609138.132667854
"12041",2850833.41554347,577314.391387448
"12048",2589095.57465227,626019.431499213
"12045",2840539.37579806,660166.456750021
"12068",2515366.62024806,669642.841092058
"12008",2809690.07057265,686920.092773782
"12027",2645540.33114384,741413.014834691
"12002",2823147.62583073,643824.173109252
"12062",2896924.92691394,555508.618806557
"12019",2811947.54117148,669021.831275457
"12071",2909914.51176386,548133.883494843
"12043",2879061.37174605,576652.193818043
"12054",2678155.71044123,651091.513131403
"12057",2633438.60523559,602639.888081937
"12063",2841946.68212762,586417.551577192
"12070",2869586.15088722,661728.611667575
"12028",2806599.06648671,618182.540420673
"12005",2870156.31435311,632720.330765965
"12080",2855126.98060589,516236.500455125
"12067",2663321.91052392,699662.985955881
"12024",2852864.25744806,642938.486755845
"12065",2881104.71724001,625178.369452265
"12033",2865829.94434497,651416.415179581
"12012",2812639.92375168,555571.622242822
"12006",2713500.13252395,679379.265274111
"12004",2886230.27099755,603627.273788029
"12029",2744709.37881208,602357.416109016
"12032",2709170.17184131,639764.500422498
"12026",2731011.76706764,683335.963727205
"12034",2790117.30001284,695955.867591179
"12050",2646552.96389665,706712.6386707
"12075",2753279.09513027,647941.895778087
"12051",2799316.5268862,594690.801999959
"12064",2665077.77599569,716006.342143231
"12009",2863487.79157167,591373.361187754
"12016",2537032.02631147,699108.923873759
"12010",2828836.23681796,617606.589126488
"12042",2779934.7965997,651842.757983418
"12061",2779357.41652427,626033.716116539
"12013",2866135.84480777,526428.300519085
"12060",2745185.97437672,741501.12426816
"12077",2847810.12936413,521076.541403241
"12039",2769058.20532537,575229.008966195
"12037",2735623.5165423,720859.448650653
"12011",2676279.62118461,594980.45287065
"12023",2872576.28986998,502009.578757298
"12020",2850399.74075266,609047.200069724
"12036",2874266.17176868,539722.102088513
"12081",2858199.01775916,566532.200489736
"12014",2667530.36025297,568728.891180421
"12044",2779556.5239327,596973.522670104
"12031",2699953.56506691,717879.044449052
"12056",2788355.44166692,557665.817372153
"12025",2824259.75595224,529362.514090498
"12078",2880850.39071927,572999.442183849
"12018",2828058.08863048,517191.819736933
"12049",2751816.63370047,747730.56915484
"12079",2819139.43028942,609470.304728168
"12046",2889648.47236011,524567.511029935
"12053",2776533.0698682,538412.138134945
"12055",2753247.3203532,727397.329348875
"12001",2743687.75795038,554303.555198522
"12038",2559937.8176546,648002.551549877
"13083",2847155.84849795,884212.344188057
"13005",2804393.42691873,904981.706816932
"13042",2833968.02977179,987729.259162006
"13012",2845616.98066061,931804.893120825
"13073",2846817.61642584,1006486.70824663
"13029",2741141.36550174,932946.346241422
"13036",2852577.72381197,950601.728075903
"13003",2823543.4153399,926863.68980363
"13058",2772523.01933808,950969.166383027
"13077",2880111.35186955,907134.001031517
"13053",2895749.25774861,945589.311604932
"13002",2895892.93742487,911542.271731832
"13024",2859825.94158836,917915.90826258
"13081",2854171.64636202,964642.751986261
"13006",2769720.9864383,936001.738389715
"13017",2763112.75395352,920067.166683012
"13031",2795327.76425868,998548.748527416
"13052",2818821.62258591,902607.843139636
"13060",2894062.52684477,931740.45407135
"13068",2858243.25812889,978858.368158563
"13055",2813628.03138454,937442.792509181
"13076",2773395.11603883,898237.886841305
"13046",2853093.29692687,1031822.1748102
"13084",2773142.63491452,974190.720713313
"13019",2785514.29862063,927165.397583894
"13040",2803037.56918999,1009842.18229432
"13043",2792802.38431056,978272.038280136
"13063",2775101.08090752,880454.68751571
"13008",2871199.989065,862689.162018024
"13028",2866879.88409741,1017489.76490035
"13011",2876273.23366795,1006706.88101574
"13038",2837932.31838689,917090.148198054
"13016",2887723.14347812,891957.643703299
"13027",2908803.08142127,950973.21361779
"13059",2745877.92265635,950167.22049507
"13020",2823494.22326575,973940.684060657
"13030",2790666.00430245,950222.12663091
"13070",2789678.21726035,905984.050679599
"13044",2742251.60003757,916328.978140663
"13047",2777851.95970386,1001497.96259524
"13015",2805170.00055692,957863.009445376
"13025",2888283.13683393,1008222.30757597
"13057",2865430.77216686,891760.275957757
"13054",2807119.58504745,925436.149337036
"13079",2848315.41259097,980399.857290199
"13037",2831254.83510586,954703.133069435
"13069",2817189.497265,875756.214865844
"13062",2827628.99328988,1009314.04062362
"13071",2813657.48872628,987526.556149693
"13065",2796719.48963141,904230.266452266
"13014",2857461.57602641,992874.73864057
"13034",2839222.17474626,998622.288849855
"13007",2883675.21782751,865071.822779382
"13074",2788511.5479865,902061.925968996
"13033",2827898.89710989,983979.759918185
"13001",2870574.8208127,916028.125206021
"13082",2827901.3652687,891443.59982054
"13049",2811104.64882886,1028036.47116722
"13004",2877528.13864275,933320.932463888
"13039",2848004.55658136,908199.62894262
"13021",2855359.50548156,855287.295105046
"13018",2815397.72407436,1016436.97688917
"13032",2858981.88692522,1019637.8536261
"13064",2770843.62553763,912542.399906117
"13026",2863361.5971028,1003098.47026212
"13051",2841820.97233564,899042.819780783
"13061",2865958.88397115,872786.646015642
"13075",2820895.96511788,887136.537937256
"13041",2793471.0588368,916239.136182239
"13045",2851757.32890903,911971.08779883
"13056",2876000.34956033,897326.070454648
"13080",2874517.01030522,994417.491670086
"13013",2788732.31220466,888521.223694462
"13050",2793543.00400063,926220.711530587
"13022",2849833.97554934,896302.813330627
"13035",2880571.14429127,921952.516898839
"13010",2789602.16533929,897509.247825836
"13009",2824519.42256246,916142.099537575
"13023",2803900.30983498,917708.649944939
"13048",2835246.4397354,903685.360660553
"13072",2856291.23172572,874723.606784483
"13067",2781851.08459414,911052.960835369
"13078",2884563.2270864,988234.76602073
"13066",2833511.79576981,882764.59516231
"14065",2355000.27180251,795170.124442647
"14100",2169979.17487967,890047.443944203
"14038",2248783.07418893,965644.431078365
"14078",2460702.18933898,998162.899417726
"14024",2310308.79505827,932919.610565272
"14097",2352731.82743983,942185.892676183
"14108",2347466.38806415,831948.852968538
"14035",2480255.11419332,1060178.16621403
"14034",2282808.25298975,880579.551869195
"14036",2279768.00576325,972292.8763245
"14056",2412249.78484471,836975.139613333
"14066",2406895.51701254,918756.866935415
"14089",2335856.49951392,899761.511661082
"14068",2215691.21875656,870090.42714279
"14009",2325901.85314247,972936.667514095
"14033",2482558.75763127,938071.355589144
"14094",2315812.53725778,1012449.12134782
"14114",2322328.20453701,932692.952959154
"14093",2425287.69405181,978697.247744681
"14069",2409332.63943692,867369.31625323
"14076",2316069.81916761,1065734.13675274
"14049",2407667.30030054,814965.023659586
"14099",2298033.02632993,840692.731201422
"14050",2352571.25202509,924080.460312641
"14012",2234701.94348034,928158.969855918
"14040",2285286.34065696,1006814.28963727
"14046",2449425.3213571,1020135.74275536
"14001",2405736.83407511,973878.271931894
"14016",2464370.58407903,942613.764529997
"14048",2487559.60717156,958746.691384325
"14086",2315841.22771649,884084.501646581
"14042",2303996.97957809,1174716.49522575
"14117",2427502.98071217,1016719.32507978
"14083",2325383.23265571,956673.206608434
"14109",2500291.26380304,1015976.03799311
"14060",2422158.0882936,1028210.91250203
"14061",2295423.47819196,1135039.94708138
"14080",2207179.4291471,985547.823170417
"14015",2258462.36992546,862305.880299942
"14111",2432646.7324072,1004206.83782209
"14088",2289346.94219779,918739.181405325
"14104",2348049.65648639,1105370.70729724
"14091",2442813.56966358,1051969.79523998
"14041",2373531.12682974,1144754.25153707
"14075",2268679.91021124,981402.574231081
"14077",2302002.71332877,939596.92101293
"14121",2359286.11676249,847574.065246698
"14081",2378817.22860997,1130912.75976613
"14045",2372823.11847011,988283.529327401
"14055",2289671.80362888,990305.036056542
"14122",2315999.73668628,836342.740084939
"14025",2367853.02477177,1119812.77624381
"14053",2512412.12714026,1053355.47132402
"14102",2296423.26723213,873266.331889685
"14028",2238671.96275012,912239.68243233
"14030",2376370.44646274,917839.561246327
"14113",2318298.16042486,857761.403480682
"14031",2329125.41274851,1080348.46995531
"14079",2352067.7473682,873560.41308198
"14112",2398456.64839058,870813.123344229
"14020",2145719.23871071,930636.186229669
"14115",2326761.93150415,1113306.40189994
"14090",2274447.83987939,906564.307964868
"14006",2283929.51695857,949967.263567824
"14002",2332774.88899961,936859.404429786
"14054",2280742.02829992,872706.467095275
"14119",2336781.76332719,915532.532056308
"14106",2287502.55853098,855000.810978232
"14047",2428650.17499772,919731.429055913
"14082",2333554.1469989,874339.15206332
"14008",2468825.11295154,973212.073428698
"14071",2344787.41452037,1005016.57162264
"14022",2225890.26108214,811423.208251018
"14062",2245207.04313901,946966.5797839
"14123",2403877.26395472,939803.160627026
"14027",2258018.65211295,828341.962340615
"14105",2422245.26579388,949381.952464673
"14073",2469596.2134895,1028679.27096338
"14021",2241683.72443528,847078.814276465
"14087",2374951.7390937,803671.384373576
"14017",2246212.53605872,896359.101283
"14029",2393486.11523758,994059.071498366
"14064",2529316.5029679,1088298.79447839
"14085",2376754.68365017,854682.734045937
"14116",2438866.31916665,1072636.32321532
"14110",2264783.21220786,889725.171412151
"14004",2330810.22721668,889615.082747695
"14011",2263455.07338577,925620.207334831
"14013",2443958.65785383,949155.31340966
"14074",2483079.12465467,998675.896823679
"14019",2302515.30742966,1096635.24475236
"14084",2192739.75809722,924847.675492874
"14118",2403464.20839031,1014442.8970834
"14058",2207841.60189607,955374.35922731
"14037",2270782.42413048,868469.75889112
"14044",2374467.29061114,932386.865522479
"14070",2370650.23495514,948671.856155991
"14051",2382049.49844225,942257.201410627
"14125",2447492.87809368,973071.290308156
"14014",2346667.28618862,889056.850462917
"14107",2370633.38555652,905427.626781459
"14059",2388077.56735502,877415.308866347
"14063",2424720.61916962,932688.312867665
"14026",2371057.9949639,887279.45652148
"14023",2342178.47840669,857586.287865012
"14010",2319671.5794968,908828.827799975
"14095",2309890.62614518,964783.81941965
"14103",2339264.75174284,826861.552401461
"14018",2445578.85123312,928891.353963595
"14032",2304068.64107377,899023.847239155
"14005",2322061.68617801,983456.679811392
"14092",2359643.38865151,901315.329499742
"14096",2388413.75050073,902276.165953147
"14052",2287722.4347744,896154.104005818
"14003",2299254.02049893,968475.411689403
"14007",2292002.31078984,979338.985706824
"14057",2384501.24794851,891483.512979172
"14072",2497570.0395127,995633.012110122
"14124",2391151.63410718,959202.653887987
"14101",2373957.31878759,957576.181579967
"14039",2361412.49994952,963880.713432627
"14098",2360068.45627429,954551.707000455
"14120",2345109.1935946,977119.944625474
"14067",2173333.74301487,969198.137899404
"14043",2200416.12769119,838109.008781111
"15002",2822020.22425274,851717.422008034
"15092",2827036.85634894,857625.17288234
"15051",2764563.8190809,818724.73593272
"15108",2801034.95021344,856306.592060409
"15008",2682452.9112459,746598.173644462
"15086",2710307.5903744,788753.005062816
"15091",2795782.50650576,865350.99018496
"15018",2747247.32850196,798607.313525359
"15074",2710902.13198821,851887.302482079
"15087",2750936.00206908,833933.106504849
"15080",2711625.28034752,750466.32308664
"15099",2832051.87503046,834044.895254065
"15045",2750570.69128048,892866.066484235
"15025",2832161.40673645,809968.1157729
"15105",2683686.24805592,729094.01091755
"15114",2710223.54884699,828647.02951387
"15118",2730949.156186,803808.748295066
"15032",2690225.27118877,814440.412640708
"15016",2842453.11771329,866438.545213569
"15069",2828680.23039966,843705.703991147
"15057",2783393.95070645,832998.638221948
"15088",2755386.96443142,776818.08891247
"15001",2721982.55508752,887327.432758758
"15123",2667455.84694878,772691.619144145
"15060",2772708.38278875,849768.293371808
"15110",2697015.41060494,799215.565638734
"15015",2844740.22696025,785678.525921176
"15082",2687865.39895511,765531.753184706
"15005",2727320.61244974,824772.949069408
"15029",2826987.46511248,826713.708350674
"15111",2695076.41739522,822317.070559726
"15003",2725726.42417942,903128.189165259
"15085",2704804.50921087,881379.081015939
"15048",2727409.95385945,859190.861748621
"15106",2744498.3227457,813016.230179839
"15095",2781445.95397603,860992.777774594
"15101",2769399.33550164,798629.862892102
"15112",2763461.31738016,860204.607461419
"15012",2762259.55798837,799967.006918467
"15117",2730216.15512271,748662.774744955
"15047",2746657.37624937,845023.626496743
"15102",2738119.20929926,879122.434354285
"15076",2757648.50442004,810201.035510006
"15046",2773085.17347777,836647.959231391
"15030",2824627.07094503,843219.62943074
"15044",2804112.77850794,862924.554137857
"15036",2809986.50024475,886625.453617208
"15053",2799515.82025866,859625.252389114
"15079",2759126.25270879,896624.761503863
"15072",2755290.11535548,795798.119908712
"15066",2676438.93484353,791260.81876868
"15100",2820900.32066661,847625.245763849
"15038",2767764.27754074,841872.998317568
"15024",2796812.29332974,859412.023561946
"15021",2731362.20126295,774090.390017023
"15121",2790054.90007462,853355.793806834
"15006",2763141.81480783,798131.112448157
"15124",2693905.79211052,847673.05018238
"15062",2771920.00499221,809410.364515172
"15115",2765145.11607865,828878.634329219
"15084",2825630.03902861,872250.066996998
"15073",2756890.14103674,799138.051810957
"15054",2752865.49140601,807739.231773893
"15043",2777039.35071907,799094.849890566
"15042",2729355.15118505,845135.440581779
"15010",2797412.9357797,889913.077371873
