id|nombre|tipo|fuente|metadata|actualizacion_sedesol|data_date
cve_ent|Clave de la entidad|Falta de capacidad de respuesta||{}|2018-12-07|2018-a
acceso_a_la_justicia|Acceso a la justicia|Falta de capacidad de respuesta||{}|2018-12-07|2018-a
reglamentacion_basica|Reglamentación Básica|Falta de capacidad de respuesta||{}|2018-12-07|2018-a
gobernabilidad|Gobernabilidad|Falta de capacidad de respuesta||{}|2018-12-07|2018-a
finanzas_publicas|Finanzas públicas|Falta de capacidad de respuesta||{}|2018-12-07|2018-a
capacidad_economica|Capacidad Económica|Falta de capacidad de respuesta||{}|2018-12-07|2018-a
administrativa__operativa|Administrativa u operativa|Falta de capacidad de respuesta||{}|2018-12-07|2018-a
